Active,PM,Frequency,Daily Energy Usage (Wh)
1,0,1,784.81
1,1,1,212.46
1,2,1,160.43
4,0,1,1253.09
4,1,1,680.74
4,2,1,628.71
4,0,2,1255.19
4,1,2,682.84
4,2,2,630.81
4,0,3,1255.19
4,1,3,682.84
4,2,3,630.81
4,0,4,1259.39
4,1,4,687.04
4,2,4,635.01
4,0,4,1259.39
4,1,4,687.04
4,2,4,635.01
12,0,1,2501.85
12,1,1,1929.50
12,2,1,1877.47
12,0,2,2503.95
12,1,2,1931.60
12,2,2,1879.57
12,0,3,2503.95
12,1,3,1931.60
12,2,3,1879.57
12,0,5,2508.15
12,1,5,1935.80
12,2,5,1883.77
24,0,6,3850.764
24,0,6,1513.348
24,0,6,3682.161
24,0,6,3746.437
24,0,6,3939.742
24,0,6,3243.746
24,0,6,2.758
